Interval # (10000 ms), Bucket Size, Buckets's Compression Efficiency (uncompressed/compressed), Buckets Uncompressed Portion of Heap, Buckets Compressed Portion of Heap, Site's Portion of Heap (uncompressed), Site's Portion of Heap (compressed), Number of Allocations, Bucket's Uncompressed Portion of Allocation Site's Data, Bucket's Compressed Portion of Allocation Site's Data, Bucket's Uncompressed Size, Bucket's Compressed Size, Total Uncompressed Allocation Site Data Size, Total Compressed Allocation Site Data Size, Total Uncompressed Heap Size, Total Compressed Heap Size, Total Bucket Resident Pages, Total Bucket Virtual Pages, Bucket Resident Page Compression Ratio (lower is better), Bucket Virtual Page Compression Ratio (lower is better), Total Site Resident Pages, Total Site Virtual Pages, Site Resident Page Compression Ratio (lower is better), Site Virtual Page Compression Ratio (lower is better), Total Heap Resident Pages, Total Heap Virtual Pages, 
1,128-256,9.73913,0.259259,0.270588,1,1,1,0.259259,0.270588,224,23,864,85,864,85,0,1,-nan,0,0,3,-nan,0,0,3,
1,256-512,10.3226,0.740741,0.729412,1,1,2,0.740741,0.729412,640,62,864,85,864,85,0,2,-nan,0,0,3,-nan,0,0,3,
2,128-256,9.73913,0.259259,0.270588,1,1,2,0.259259,0.270588,448,46,1728,170,1728,170,0,2,-nan,0,0,6,-nan,0,0,6,
2,256-512,10.3226,0.740741,0.729412,1,1,4,0.740741,0.729412,1280,124,1728,170,1728,170,0,4,-nan,0,0,6,-nan,0,0,6,
3,128-256,9.73913,0.259259,0.270588,1,1,3,0.259259,0.270588,672,69,2592,255,2592,255,0,3,-nan,0,0,9,-nan,0,0,9,
3,256-512,10.3226,0.740741,0.729412,1,1,6,0.740741,0.729412,1920,186,2592,255,2592,255,0,6,-nan,0,0,9,-nan,0,0,9,
4,128-256,9.73913,0.259259,0.270588,1,1,4,0.259259,0.270588,896,92,3456,340,3456,340,0,4,-nan,0,0,12,-nan,0,0,12,
4,256-512,10.3226,0.740741,0.729412,1,1,8,0.740741,0.729412,2560,248,3456,340,3456,340,0,8,-nan,0,0,12,-nan,0,0,12,
5,128-256,9.73913,0.259259,0.270588,1,1,5,0.259259,0.270588,1120,115,4320,425,4320,425,0,5,-nan,0,0,15,-nan,0,0,15,
5,256-512,10.3226,0.740741,0.729412,1,1,10,0.740741,0.729412,3200,310,4320,425,4320,425,0,10,-nan,0,0,15,-nan,0,0,15,
6,128-256,9.73913,0.259259,0.270588,1,1,5,0.259259,0.270588,1120,115,4320,425,4320,425,0,5,-nan,0,0,15,-nan,0,0,15,
6,256-512,10.3226,0.740741,0.729412,1,1,10,0.740741,0.729412,3200,310,4320,425,4320,425,0,10,-nan,0,0,15,-nan,0,0,15,
